word,pos,lang_code
gyorsaság,noun,hu
kancsalság,noun,hu
szenteste,noun,hu
megkap,verb,hu
tevének,noun,hu
tarlatánok,noun,hu
őmellette,pron,hu
palotájuk,noun,hu
gondozott,adj,hu
legérdemesebb,adj,hu
szállást,noun,hu
papíron,noun,hu
határozói,adj,hu
lávalámpáig,noun,hu
lelek,verb,hu
vezetőkhöz,noun,hu
néző,noun,hu
helytől,noun,hu
varrj,verb,hu
újít,verb,hu
drága,noun,hu
konkrétabban,adv,hu
figyelőlistával,noun,hu
lazacoktól,noun,hu
pápa,noun,hu
kihallgatás,noun,hu
órára,noun,hu
diszkvalifikál,verb,hu
fedezete,noun,hu
cédrusfákért,noun,hu
kas,noun,hu
kölcsönhatás,noun,hu
dolgoznak,verb,hu
magányos,adj,hu
disznóhús,noun,hu
dugasz,noun,hu
afrikai,noun,hu
kelmék,noun,hu
megengedve,verb,hu
olyanokban,pron,hu
fájdalmasabban,adv,hu
dobogók,adj,hu
csíkok,noun,hu
bevándorlók,noun,hu
varrhat,verb,hu
bűvösebb,adj,hu
közelebb,adv,hu
sáv,noun,hu
hiúság,noun,hu
alkotmányoknak,noun,hu
rajongóbb,adj,hu
kerecsensólyom,noun,hu
nyakakként,noun,hu
albatroszokért,noun,hu
agákból,noun,hu
helyezni,verb,hu
helyenként,adv,hu
villiknek,noun,hu
műfaj,noun,hu
helyed,noun,hu
egyikeknél,pron,hu
élnél,noun,hu
súlylökések,noun,hu
csípte,verb,hu
ok,noun,hu
délelőtt,adv,hu
elviselhetetlen,adj,hu
fickóval,noun,hu
legtürelmetlenebb,adj,hu
korfa,noun,hu
zöldség,noun,hu
klassz,adj,hu
hitelesített,adj,hu
jutottál,verb,hu
műszakilag,adv,hu
csalóbb,adj,hu
stoptábla,noun,hu
elfogadnia,verb,hu
vezetőben,noun,hu
idősödés,noun,hu
ősfaj,noun,hu
pénzintézetek,noun,hu
költözz,verb,hu
koronavírusról,noun,hu
teelőled,pron,hu
sablonjaik,noun,hu
érdekeinek,noun,hu
műnem,noun,hu
birskörték,noun,hu
padjaiddal,noun,hu
históriák,noun,hu
likad,noun,hu
dobhártyák,noun,hu
őreájuk,pron,hu
dalszöveggé,noun,hu
